Niv2_Niv1_NAF Rev 2 - Version finale_NAF Rev 2 - 65 caractères_NAF Rev 2 - 40 Caractères
68_L_Activités immobilières_Activités immobilières_Activités immobilières
69_M_Activités juridiques et comptables_Activités juridiques et comptables_Activités juridiques et comptables
70_M_Activités des sièges sociaux ; conseil de gestion_Activités des sièges sociaux ; conseil de gestion_Act. sièges sociaux ; conseil de gestion
71_M_Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques_Activ. architecture & ingénierie; contrôle & analyses techniques_Architec. & ingénierie; ctrle ana. tech.
72_M_Recherche-développement scientifique_Recherche-développement scientifique_Recherche-développement scientifique
73_M_Publicité et études de marché_Publicité et études de marché_Publicité et études de marché
74_M_Autres activités spécialisées, scientifiques et techniques_Autres activités spécialisées, scientifiques et techniques_Aut. act. spécial. scientifique & techn.
75_M_Activités vétérinaires_Activités vétérinaires_Activités vétérinaires
77_N_Activités de location et location-bail_Activités de location et location-bail_Activités de location et location-bail
78_N_Activités liées à l'emploi_Activités liées à l'emploi_Activités liées à l'emploi
79_N_Activités des agences de voyage, voyagistes, services de réservation et activités connexes_Activ. agences voyage, voyagistes, serv. résa. & activ. connexes_Act .ag. voyage voyagiste sv. résa. etc.
80_N_Enquêtes et sécurité_Enquêtes et sécurité_Enquêtes et sécurité
81_N_Services relatifs aux bâtiments et aménagement paysager_Services relatifs aux bâtiments et aménagement paysager_Sces relatifs bâtimnt & aménagt paysager
82_N_Activités administratives et autres activités de soutien aux entreprises_Activ. administratives & autres activ. soutien aux entreprises_Act. admin. & aut. act. soutien aux ent.
84_O_Administration publique et défense ; sécurité sociale obligatoire_Administration publique et défense ; sécurité sociale obligatoire_Admin. publi. & défense; séc. soc. obli.
85_P_Enseignement_Enseignement_Enseignement
86_Q_Activités pour la santé humaine_Activités pour la santé humaine_Activités pour la santé humaine
87_Q_Hébergement médico-social et social_Hébergement médico-social et social_Hébergement médico-social et social
88_Q_Action sociale sans hébergement_Action sociale sans hébergement_Action sociale sans hébergement
90_R_Activités créatives, artistiques et de spectacle_Activités créatives, artistiques et de spectacle_Act. créativ. artistiques & de spectacle
91_R_Bibliothèques, archives, musées et autres activités culturelles_Bibliothèques, archives, musées et autres activités culturelles_Biblioth. archive musée & aut. act. cul.
92_R_Organisation de jeux de hasard et d'argent_Organisation de jeux de hasard et d'argent_Organisation jeux de hasard & d'argent
93_R_Activités sportives, récréatives et de loisirs_Activités sportives, récréatives et de loisirs_Act. sportiv., récréatives & de loisirs
94_S_Activités des organisations associatives_Activités des organisations associatives_Activités des organisations associatives
95_S_Réparation d'ordinateurs et de biens personnels et domestiques_Réparation d'ordinateurs et de biens personnels et domestiques_Répar. ordi. & bien perso. & domestique
96_S_Autres services personnels_Autres services personnels_Autres services personnels
97_T_Activités des ménages en tant qu'employeurs de personnel domestique_Activ. ménages : employeurs de personnel domestique_Act. ménage: empl. de person. domestique
98_T_Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre_Activ. ménages : prod. biens & services (usage propre)_Act. ménage : prod. b.&s. (usage propre)
99_U_Activités des organisations et organismes extraterritoriaux_Activités des organisations et organismes extraterritoriaux_Act. organisations extraterritoriales
